OpportunityID,StageName,EnteredDate,ExitedDate,DaysInStage,IsCurrentStage
OPP-00001,Prospect,2024-02-11,2024-02-17,6,false
OPP-00001,Qualified,2024-02-17,2024-02-26,9,false
OPP-00001,Demo,2024-02-26,2024-02-28,2,false
OPP-00001,Proposal,2024-02-28,2024-03-15,16,false
OPP-00001,Commit,2024-03-15,2024-03-25,10,false
OPP-00002,Prospect,2023-10-13,2023-10-21,8,false
OPP-00003,Prospect,2025-11-29,2025-12-07,8,false
OPP-00003,Qualified,2025-12-07,2025-12-18,11,false
OPP-00003,Demo,2025-12-18,2025-12-22,4,false
OPP-00003,Proposal,2025-12-22,2025-12-31,9,false
OPP-00003,Commit,2025-12-31,,169,true
OPP-00004,Prospect,2024-02-27,2024-03-07,9,false
OPP-00004,Qualified,2024-03-07,2024-03-16,9,false
OPP-00004,Demo,2024-03-16,2024-03-23,7,false
OPP-00004,Proposal,2024-03-23,2024-04-06,14,false
OPP-00005,Prospect,2026-05-01,2026-05-12,11,false
OPP-00005,Qualified,2026-05-12,2026-05-20,8,false
OPP-00005,Demo,2026-05-20,2026-05-28,8,false
OPP-00005,Proposal,2026-05-28,,21,true
OPP-00006,Prospect,2024-11-08,2024-11-15,7,false
OPP-00006,Qualified,2024-11-15,2024-11-25,10,false
OPP-00006,Demo,2024-11-25,2024-12-03,8,false
OPP-00006,Proposal,2024-12-03,2024-12-20,17,false
OPP-00006,Commit,2024-12-20,2025-01-02,13,false
OPP-00007,Prospect,2025-03-25,2025-04-02,8,false
OPP-00007,Qualified,2025-04-02,2025-04-10,8,false
OPP-00007,Demo,2025-04-10,2025-04-14,4,false
OPP-00007,Proposal,2025-04-14,2025-04-30,16,false
OPP-00008,Prospect,2026-02-09,2026-02-13,4,false
OPP-00008,Qualified,2026-02-13,2026-02-19,6,false
OPP-00008,Demo,2026-02-19,,119,true
OPP-00009,Prospect,2026-06-26,2026-06-29,3,false
OPP-00009,Qualified,2026-06-29,,0,true
OPP-00010,Prospect,2024-08-25,2024-09-01,7,false
OPP-00010,Qualified,2024-09-01,2024-09-05,4,false
OPP-00010,Demo,2024-09-05,2024-09-11,6,false
OPP-00011,Prospect,2025-12-05,,195,true
OPP-00012,Prospect,2026-02-28,2026-03-06,6,false
OPP-00012,Qualified,2026-03-06,2026-03-12,6,false
OPP-00012,Demo,2026-03-12,2026-03-18,6,false
OPP-00012,Proposal,2026-03-18,,92,true
OPP-00013,Prospect,2024-06-13,2024-06-21,8,false
OPP-00013,Qualified,2024-06-21,2024-06-30,9,false
OPP-00013,Demo,2024-06-30,2024-07-05,5,false
OPP-00013,Proposal,2024-07-05,2024-07-19,14,false
OPP-00013,Commit,2024-07-19,2024-07-31,12,false
OPP-00014,Prospect,2024-12-14,2024-12-18,4,false
OPP-00014,Qualified,2024-12-18,2024-12-28,10,false
OPP-00015,Prospect,2025-12-02,2025-12-09,7,false
OPP-00015,Qualified,2025-12-09,,191,true
OPP-00016,Prospect,2025-10-21,2025-10-30,9,false
OPP-00016,Qualified,2025-10-30,2025-11-10,11,false
OPP-00016,Demo,2025-11-10,2025-11-17,7,false
OPP-00016,Proposal,2025-11-17,,213,true
OPP-00017,Prospect,2026-04-03,2026-04-16,13,false
OPP-00017,Qualified,2026-04-16,2026-04-27,11,false
OPP-00017,Demo,2026-04-27,,52,true
OPP-00018,Prospect,2024-09-09,2024-09-18,9,false
OPP-00018,Qualified,2024-09-18,2024-09-27,9,false
OPP-00018,Demo,2024-09-27,2024-10-01,4,false
OPP-00018,Proposal,2024-10-01,2024-10-15,14,false
OPP-00018,Commit,2024-10-15,2024-11-01,17,false
OPP-00019,Prospect,2025-10-04,2025-10-18,14,false
OPP-00019,Qualified,2025-10-18,2025-10-27,9,false
OPP-00020,Prospect,2024-02-12,2024-02-25,13,false
OPP-00020,Qualified,2024-02-25,2024-03-04,8,false
OPP-00020,Demo,2024-03-04,2024-03-08,4,false
OPP-00020,Proposal,2024-03-08,2024-03-24,16,false
OPP-00020,Commit,2024-03-24,2024-04-02,9,false
OPP-00021,Prospect,2023-12-21,2023-12-27,6,false
OPP-00021,Qualified,2023-12-27,2024-01-03,7,false
OPP-00021,Demo,2024-01-03,2024-01-10,7,false
OPP-00021,Proposal,2024-01-10,2024-01-26,16,false
OPP-00021,Commit,2024-01-26,2024-02-04,9,false
OPP-00022,Prospect,2025-08-24,2025-09-04,11,false
OPP-00022,Qualified,2025-09-04,2025-09-12,8,false
OPP-00022,Demo,2025-09-12,2025-09-15,3,false
OPP-00022,Proposal,2025-09-15,2025-10-04,19,false
OPP-00022,Commit,2025-10-04,2025-10-14,10,false
OPP-00023,Prospect,2026-03-31,,79,true
OPP-00024,Prospect,2026-04-14,2026-04-15,1,false
OPP-00024,Qualified,2026-04-15,2026-04-21,6,false
OPP-00024,Demo,2026-04-21,,58,true
OPP-00025,Prospect,2025-12-16,2025-12-27,11,false
OPP-00025,Qualified,2025-12-27,2026-01-06,10,false
OPP-00025,Demo,2026-01-06,2026-01-10,4,false
OPP-00025,Proposal,2026-01-10,2026-01-24,14,false
OPP-00025,Commit,2026-01-24,,145,true
OPP-00026,Prospect,2025-05-01,2025-05-12,11,false
OPP-00027,Prospect,2026-02-02,2026-02-13,11,false
OPP-00027,Qualified,2026-02-13,2026-02-23,10,false
OPP-00027,Demo,2026-02-23,2026-03-05,10,false
OPP-00027,Proposal,2026-03-05,,105,true
OPP-00028,Prospect,2025-06-09,2025-06-16,7,false
OPP-00028,Qualified,2025-06-16,2025-06-27,11,false
OPP-00028,Demo,2025-06-27,2025-07-01,4,false
OPP-00028,Proposal,2025-07-01,2025-07-20,19,false
OPP-00029,Prospect,2026-03-12,2026-03-18,6,false
OPP-00029,Qualified,2026-03-18,,92,true
OPP-00030,Prospect,2026-02-06,2026-02-20,14,false
OPP-00030,Qualified,2026-02-20,,118,true
OPP-00031,Prospect,2026-01-13,2026-01-18,5,false
OPP-00031,Qualified,2026-01-18,2026-01-26,8,false
OPP-00031,Demo,2026-01-26,2026-01-31,5,false
OPP-00031,Proposal,2026-01-31,,138,true
OPP-00032,Prospect,2026-01-27,2026-02-06,10,false
OPP-00032,Qualified,2026-02-06,2026-02-15,9,false
OPP-00032,Demo,2026-02-15,2026-02-18,3,false
OPP-00032,Proposal,2026-02-18,2026-03-02,12,false
OPP-00032,Commit,2026-03-02,,108,true
OPP-00033,Prospect,2025-06-02,2025-06-10,8,false
OPP-00034,Prospect,2024-01-23,2024-02-06,14,false
OPP-00035,Prospect,2026-03-11,2026-03-16,5,false
OPP-00035,Qualified,2026-03-16,2026-03-22,6,false
OPP-00035,Demo,2026-03-22,2026-04-02,11,false
OPP-00035,Proposal,2026-04-02,2026-04-19,17,false
OPP-00035,Commit,2026-04-19,,60,true
OPP-00036,Prospect,2024-07-04,2024-07-11,7,false
OPP-00036,Qualified,2024-07-11,2024-07-18,7,false
OPP-00036,Demo,2024-07-18,2024-07-25,7,false
OPP-00036,Proposal,2024-07-25,2024-08-11,17,false
OPP-00036,Commit,2024-08-11,2024-08-25,14,false
OPP-00037,Prospect,2026-07-16,2026-07-27,11,false
OPP-00037,Qualified,2026-07-27,2026-08-07,11,false
OPP-00037,Demo,2026-08-07,2026-08-10,3,false
OPP-00037,Proposal,2026-08-10,2026-08-26,16,false
OPP-00037,Commit,2026-08-26,,0,true
OPP-00038,Prospect,2024-05-14,2024-05-21,7,false
OPP-00038,Qualified,2024-05-21,2024-06-01,11,false
OPP-00038,Demo,2024-06-01,2024-06-08,7,false
OPP-00038,Proposal,2024-06-08,2024-06-24,16,false
OPP-00038,Commit,2024-06-24,2024-07-07,13,false
OPP-00039,Prospect,2025-12-27,2026-01-05,9,false
OPP-00039,Qualified,2026-01-05,2026-01-11,6,false
OPP-00039,Demo,2026-01-11,2026-01-16,5,false
OPP-00039,Proposal,2026-01-16,,153,true
OPP-00040,Prospect,2024-10-12,2024-10-25,13,false
OPP-00041,Prospect,2025-10-06,2025-10-15,9,false
OPP-00041,Qualified,2025-10-15,2025-10-25,10,false
OPP-00041,Demo,2025-10-25,,236,true
OPP-00042,Prospect,2026-06-25,2026-06-28,3,false
OPP-00042,Qualified,2026-06-28,2026-07-07,9,false
OPP-00042,Demo,2026-07-07,2026-07-15,8,false
OPP-00042,Proposal,2026-07-15,,0,true
OPP-00043,Prospect,2025-02-22,2025-03-07,13,false
OPP-00043,Qualified,2025-03-07,2025-03-18,11,false
OPP-00043,Demo,2025-03-18,2025-03-21,3,false
OPP-00043,Proposal,2025-03-21,2025-04-10,20,false
OPP-00043,Commit,2025-04-10,2025-04-25,15,false
OPP-00044,Prospect,2025-02-04,2025-02-08,4,false
OPP-00045,Prospect,2026-02-07,2026-02-20,13,false
OPP-00045,Qualified,2026-02-20,2026-03-01,9,false
OPP-00045,Demo,2026-03-01,2026-03-11,10,false
OPP-00045,Proposal,2026-03-11,,99,true
OPP-00046,Prospect,2026-05-19,2026-05-29,10,false
OPP-00046,Qualified,2026-05-29,2026-06-05,7,false
OPP-00046,Demo,2026-06-05,2026-06-07,2,false
OPP-00046,Proposal,2026-06-07,2026-06-25,18,false
OPP-00046,Commit,2026-06-25,,0,true
OPP-00047,Prospect,2025-10-29,2025-11-02,4,false
OPP-00047,Qualified,2025-11-02,,228,true
OPP-00048,Prospect,2024-11-25,2024-12-09,14,false
OPP-00048,Qualified,2024-12-09,2024-12-19,10,false
OPP-00048,Demo,2024-12-19,2024-12-24,5,false
OPP-00048,Proposal,2024-12-24,2025-01-05,12,false
OPP-00048,Commit,2025-01-05,2025-01-20,15,false
OPP-00049,Prospect,2025-09-05,2025-09-13,8,false
