assignment_id,project_id,consultant_id,allocation_pct,assignment_role,assigned_start_date,assigned_end_date
AS00001,PR0001,CN002,0.75,Senior Consultant,2025-03-24,2025-08-20
AS00002,PR0001,CN055,0.6,Consultant,2025-03-24,2025-08-20
AS00003,PR0001,CN012,0.4,Solution Architect,2025-03-24,2025-08-20
AS00004,PR0001,CN118,0.75,Senior Consultant,2025-03-24,2025-08-20
AS00005,PR0001,CN011,0.5,Senior Consultant,2025-03-24,2025-08-20
AS00006,PR0001,CN077,1.0,Data Engineer,2025-03-24,2025-08-20
AS00007,PR0001,CN025,0.25,Data Engineer,2025-03-24,2025-08-20
AS00008,PR0001,CN007,0.25,Lead Consultant,2025-03-24,2025-08-20
AS00009,PR0001,CN029,1.0,Project Manager,2025-03-24,2025-08-20
AS00010,PR0002,CN084,0.4,Consultant,2025-04-02,2025-05-20
AS00011,PR0002,CN064,0.75,Solution Architect,2025-04-02,2025-05-20
AS00012,PR0002,CN080,0.6,QA Engineer,2025-04-02,2025-05-20
AS00013,PR0002,CN067,1.0,Senior Consultant,2025-04-02,2025-05-20
AS00014,PR0002,CN054,1.0,Data Visualization Designer,2025-04-02,2025-05-20
AS00015,PR0002,CN016,0.6,QA Engineer,2025-04-02,2025-05-20
AS00016,PR0003,CN111,0.4,Data Engineer,2025-04-20,2025-09-18
AS00017,PR0003,CN014,0.4,QA Engineer,2025-04-20,2025-09-18
AS00018,PR0003,CN106,0.75,Data Visualization Designer,2025-04-20,2025-09-18
AS00019,PR0003,CN017,0.75,Consultant,2025-04-20,2025-09-18
AS00020,PR0003,CN108,1.0,Consultant,2025-04-20,2025-09-18
AS00021,PR0003,CN084,1.0,Consultant,2025-04-20,2025-09-18
AS00022,PR0004,CN098,0.75,Data Engineer,2025-07-11,2026-04-15
AS00023,PR0004,CN101,0.6,Lead Consultant,2025-07-11,2026-04-15
AS00024,PR0004,CN058,0.25,Senior Consultant,2025-07-11,2026-04-15
AS00025,PR0004,CN020,0.75,Project Manager,2025-07-11,2026-04-15
AS00026,PR0005,CN079,0.75,Consultant,2025-02-21,2025-10-04
AS00027,PR0005,CN001,0.5,Data Visualization Designer,2025-02-21,2025-10-04
AS00028,PR0005,CN024,1.0,Consultant,2025-02-21,2025-10-04
AS00029,PR0005,CN052,0.5,Data Engineer,2025-02-21,2025-10-04
AS00030,PR0005,CN044,0.25,Senior Consultant,2025-02-21,2025-10-04
AS00031,PR0005,CN091,0.6,Lead Consultant,2025-02-21,2025-10-04
AS00032,PR0005,CN003,0.4,Consultant,2025-02-21,2025-10-04
AS00033,PR0005,CN065,0.6,Project Manager,2025-02-21,2025-10-04
AS00034,PR0005,CN018,0.75,QA Engineer,2025-02-21,2025-10-04
AS00035,PR0005,CN066,0.5,Consultant,2025-02-21,2025-10-04
AS00036,PR0005,CN008,1.0,QA Engineer,2025-02-21,2025-10-04
AS00037,PR0006,CN073,0.5,Data Engineer,2024-09-29,2025-06-19
AS00038,PR0006,CN074,0.4,Senior Consultant,2024-09-29,2025-06-19
AS00039,PR0006,CN109,0.5,QA Engineer,2024-09-29,2025-06-19
AS00040,PR0006,CN005,0.5,QA Engineer,2024-09-29,2025-06-19
AS00041,PR0006,CN082,0.4,Project Manager,2024-09-29,2025-06-19
AS00042,PR0006,CN088,0.75,Senior Consultant,2024-09-29,2025-06-19
