milestone_id,project_id,milestone_name,planned_date,actual_date,milestone_status,days_late
MS00001,PR0001,Discovery Complete,2025-04-25,2025-04-30,Late,5
MS00002,PR0001,Design Approved,2025-05-28,2025-05-28,On Time,0
MS00003,PR0001,Build Complete,2025-06-29,2025-07-08,Late,9
MS00004,PR0001,UAT Complete,2025-08-01,2025-08-01,On Time,0
MS00005,PR0001,Production Launch,2025-09-02,2025-09-04,On Time,2
MS00006,PR0002,Discovery Complete,2025-04-15,2025-04-17,On Time,2
MS00007,PR0002,Design Approved,2025-04-27,2025-04-27,On Time,0
MS00008,PR0002,Build Complete,2025-05-10,2025-05-19,Late,9
MS00009,PR0002,UAT Complete,2025-05-22,2025-05-22,On Time,0
MS00010,PR0002,Production Launch,2025-06-04,2025-06-09,Late,5
MS00011,PR0003,Discovery Complete,2025-05-23,2025-05-21,On Time,0
MS00012,PR0003,Design Approved,2025-06-25,2025-06-25,On Time,0
MS00013,PR0003,Build Complete,2025-07-29,2025-07-29,On Time,0
MS00014,PR0003,UAT Complete,2025-08-31,2025-09-02,On Time,2
MS00015,PR0003,Production Launch,2025-10-03,2025-10-08,Late,5
MS00016,PR0004,Discovery Complete,2025-08-31,2025-08-31,On Time,0
MS00017,PR0004,Design Approved,2025-10-22,2025-10-17,On Time,0
MS00018,PR0004,Build Complete,2025-12-12,2025-12-14,On Time,2
MS00019,PR0004,UAT Complete,2026-02-02,2026-02-11,Late,9
MS00020,PR0004,Production Launch,2026-03-25,2026-04-08,Late,14
MS00021,PR0005,Discovery Complete,2025-04-09,2025-04-11,On Time,2
MS00022,PR0005,Design Approved,2025-05-26,2025-06-04,Late,9
MS00023,PR0005,Build Complete,2025-07-11,2025-07-25,Late,14
MS00024,PR0005,UAT Complete,2025-08-27,2025-08-27,On Time,0
MS00025,PR0005,Production Launch,2025-10-13,2025-10-13,On Time,0
MS00026,PR0006,Discovery Complete,2024-11-18,2024-11-23,Late,5
MS00027,PR0006,Design Approved,2025-01-07,2025-01-12,Late,5
MS00028,PR0006,Build Complete,2025-02-27,2025-02-25,On Time,0
MS00029,PR0006,UAT Complete,2025-04-18,2025-04-20,On Time,2
MS00030,PR0006,Production Launch,2025-06-07,2025-06-09,On Time,2
MS00031,PR0007,Discovery Complete,2025-11-24,2025-12-08,Late,14
MS00032,PR0007,Design Approved,2025-12-15,2025-12-15,On Time,0
MS00033,PR0007,Build Complete,2026-01-05,2026-01-03,On Time,0
MS00034,PR0007,UAT Complete,2026-01-26,2026-01-26,On Time,0
MS00035,PR0007,Production Launch,2026-02-16,2026-02-18,On Time,2
MS00036,PR0008,Discovery Complete,2026-03-18,2026-03-23,Late,5
MS00037,PR0008,Design Approved,2026-05-06,2026-05-01,On Time,0
MS00038,PR0008,Build Complete,2026-06-25,,Pending,
MS00039,PR0008,UAT Complete,2026-08-13,,Pending,
MS00040,PR0008,Production Launch,2026-10-02,,Pending,
MS00041,PR0009,Discovery Complete,2025-04-16,2025-04-16,On Time,0
MS00042,PR0009,Design Approved,2025-05-29,2025-05-31,On Time,2
MS00043,PR0009,Build Complete,2025-07-12,2025-07-07,On Time,0
MS00044,PR0009,UAT Complete,2025-08-24,2025-08-22,On Time,0
MS00045,PR0009,Production Launch,2025-10-06,2025-10-11,Late,5
MS00046,PR0010,Discovery Complete,2026-02-25,2026-03-11,Late,14
MS00047,PR0010,Design Approved,2026-04-05,2026-04-05,On Time,0
