time_entry_id,entry_date,project_id,consultant_id,hours,billable_hours,non_billable_hours,entry_type,bill_rate,cost_rate,revenue,labor_cost
TE0000001,2025-03-24,PR0001,CN002,6.81,6.81,0,Billable Delivery,157,60,1069.17,408.6
TE0000002,2025-03-25,PR0001,CN002,6.94,0,6.94,Admin,0,60,0.0,416.4
TE0000003,2025-03-26,PR0001,CN002,10.09,10.09,0,Billable Delivery,157,60,1584.13,605.4
TE0000004,2025-03-28,PR0001,CN002,6.21,6.21,0,Billable Delivery,157,60,974.97,372.6
TE0000005,2025-04-01,PR0001,CN002,5.95,5.95,0,Billable Delivery,157,60,934.15,357.0
TE0000006,2025-04-02,PR0001,CN002,6.38,6.38,0,Billable Delivery,157,60,1001.66,382.8
TE0000007,2025-04-03,PR0001,CN002,4.07,4.07,0,Billable Delivery,157,60,638.99,244.2
TE0000008,2025-04-04,PR0001,CN002,8.25,8.25,0,Billable Delivery,157,60,1295.25,495.0
TE0000009,2025-04-07,PR0001,CN002,5.18,5.18,0,Billable Delivery,157,60,813.26,310.8
TE0000010,2025-04-08,PR0001,CN002,4.18,4.18,0,Billable Delivery,157,60,656.26,250.8
TE0000011,2025-04-10,PR0001,CN002,7.64,7.64,0,Billable Delivery,157,60,1199.48,458.4
TE0000012,2025-04-11,PR0001,CN002,7.99,7.99,0,Billable Delivery,157,60,1254.43,479.4
TE0000013,2025-04-14,PR0001,CN002,8.91,8.91,0,Billable Delivery,157,60,1398.87,534.6
TE0000014,2025-04-15,PR0001,CN002,3.68,3.68,0,Billable Delivery,157,60,577.76,220.8
TE0000015,2025-04-16,PR0001,CN002,5.73,5.73,0,Billable Delivery,157,60,899.61,343.8
TE0000016,2025-04-21,PR0001,CN002,3.75,0,3.75,Internal,0,60,0.0,225.0
TE0000017,2025-04-23,PR0001,CN002,7.3,7.3,0,Billable Delivery,157,60,1146.1,438.0
TE0000018,2025-04-24,PR0001,CN002,6.87,0,6.87,Enablement,0,60,0.0,412.2
TE0000019,2025-04-25,PR0001,CN002,6.17,6.17,0,Billable Delivery,157,60,968.69,370.2
TE0000020,2025-04-28,PR0001,CN002,5.47,5.47,0,Billable Delivery,157,60,858.79,328.2
TE0000021,2025-04-29,PR0001,CN002,7.74,0,7.74,Internal,0,60,0.0,464.4
TE0000022,2025-04-30,PR0001,CN002,6.04,6.04,0,Billable Delivery,157,60,948.28,362.4
TE0000023,2025-05-01,PR0001,CN002,3.95,3.95,0,Billable Delivery,157,60,620.15,237.0
TE0000024,2025-05-06,PR0001,CN002,7.22,7.22,0,Billable Delivery,157,60,1133.54,433.2
TE0000025,2025-05-07,PR0001,CN002,6.38,6.38,0,Billable Delivery,157,60,1001.66,382.8
TE0000026,2025-05-08,PR0001,CN002,5.2,5.2,0,Billable Delivery,157,60,816.4,312.0
TE0000027,2025-05-09,PR0001,CN002,4.96,4.96,0,Billable Delivery,157,60,778.72,297.6
TE0000028,2025-05-12,PR0001,CN002,5.11,0,5.11,Admin,0,60,0.0,306.6
TE0000029,2025-05-15,PR0001,CN002,6.55,6.55,0,Billable Delivery,157,60,1028.35,393.0
TE0000030,2025-05-16,PR0001,CN002,8.83,8.83,0,Billable Delivery,157,60,1386.31,529.8
TE0000031,2025-05-19,PR0001,CN002,9.33,9.33,0,Billable Delivery,157,60,1464.81,559.8
TE0000032,2025-05-20,PR0001,CN002,6.21,6.21,0,Billable Delivery,157,60,974.97,372.6
TE0000033,2025-05-21,PR0001,CN002,1.96,1.96,0,Billable Delivery,157,60,307.72,117.6
TE0000034,2025-05-22,PR0001,CN002,6.8,6.8,0,Billable Delivery,157,60,1067.6,408.0
TE0000035,2025-05-27,PR0001,CN002,5.41,5.41,0,Billable Delivery,157,60,849.37,324.6
TE0000036,2025-05-28,PR0001,CN002,5.99,5.99,0,Billable Delivery,157,60,940.43,359.4
TE0000037,2025-05-30,PR0001,CN002,5.16,5.16,0,Billable Delivery,157,60,810.12,309.6
TE0000038,2025-06-02,PR0001,CN002,5.96,5.96,0,Billable Delivery,157,60,935.72,357.6
TE0000039,2025-06-03,PR0001,CN002,8.18,8.18,0,Billable Delivery,157,60,1284.26,490.8
TE0000040,2025-06-04,PR0001,CN002,4.46,4.46,0,Billable Delivery,157,60,700.22,267.6
TE0000041,2025-06-06,PR0001,CN002,7.26,7.26,0,Billable Delivery,157,60,1139.82,435.6
TE0000042,2025-06-09,PR0001,CN002,7.34,7.34,0,Billable Delivery,157,60,1152.38,440.4
TE0000043,2025-06-10,PR0001,CN002,5.32,5.32,0,Billable Delivery,157,60,835.24,319.2
