OpportunityID,HighestStage,AccountName,StageName,ACV,CloseDate,Owner,Segment,Region,CreatedDate,LastActivityDate,DaysSinceActivity,ForecastCategory,IsWon,IsClosed,ARRType,CreatedQuarter,CloseQuarter,EnteredCurrentStage,DaysInCurrentStage
OPP-00001,Commit,TaxJar Cloud,Closed Won,58000,2024-03-25,Jordan Kelly,Mid-Market,Central,2024-02-11,2024-03-27,817,Closed,true,true,New,Q1 2024,Q1 2024,2024-03-15,10
OPP-00002,Prospect,Kinetica Labs,Closed Lost,560000,2023-10-21,Zara Mitchell,Enterprise,East,2023-10-13,2023-10-22,974,Omit,false,true,New,Q4 2023,Q4 2023,2023-10-13,8
OPP-00003,Commit,Velo Systems,Commit,137000,2026-02-09,Ethan Brooks,Mid-Market,West,2025-11-29,2026-06-18,4,Commit,false,false,New,Q4 2025,Q1 2026,2025-12-31,173
OPP-00004,Proposal,Chartmogul Analytics,Closed Lost,829000,2024-04-06,Priya Kapoor,Enterprise,West,2024-02-27,2024-04-08,805,Omit,false,true,New,Q1 2024,Q2 2024,2024-03-23,14
OPP-00005,Proposal,Devrev Systems,Proposal,33000,2026-06-10,Elena Okafor,SMB,East,2026-05-01,2026-06-09,13,Best Case,false,false,Expansion,Q2 2026,Q2 2026,2026-05-28,25
OPP-00006,Commit,Bigeye Solutions,Closed Won,315000,2025-01-02,Mia Torres,Enterprise,West,2024-11-08,2025-01-03,535,Closed,true,true,New,Q4 2024,Q1 2025,2024-12-20,13
OPP-00007,Proposal,Chargebee Cloud,Closed Lost,116000,2025-04-30,Aria Stephens,Mid-Market,East,2025-03-25,2025-04-30,418,Omit,false,true,New,Q1 2025,Q2 2025,2025-04-14,16
OPP-00008,Demo,Common Room,Demo,397000,2026-05-28,Priya Kapoor,Enterprise,West,2026-02-09,2026-06-21,1,Best Case,false,false,New,Q1 2026,Q2 2026,2026-02-19,123
OPP-00009,Qualified,Endgame Platform,Qualified,96000,2026-09-14,Ethan Brooks,Mid-Market,West,2026-06-26,2026-06-19,3,Best Case,false,false,New,Q2 2026,Q3 2026,2026-06-29,0
OPP-00010,Demo,Alation Analytics,Closed Lost,20000,2024-09-11,Liam Chen,SMB,West,2024-08-25,2024-09-13,647,Omit,false,true,Expansion,Q3 2024,Q3 2024,2024-09-05,6
OPP-00011,Prospect,Craft Platform,Prospect,18000,2026-01-11,Elena Okafor,SMB,East,2025-12-05,2026-06-16,6,Omit,false,false,New,Q4 2025,Q1 2026,2025-12-05,199
OPP-00012,Proposal,Gong Revenue,Proposal,73000,2026-05-18,Aria Stephens,Mid-Market,East,2026-02-28,2026-06-13,9,Best Case,false,false,New,Q1 2026,Q2 2026,2026-03-18,96
OPP-00013,Commit,Sovos Analytics,Closed Won,37000,2024-07-31,Liam Chen,SMB,West,2024-06-13,2024-08-03,688,Closed,true,true,New,Q2 2024,Q3 2024,2024-07-19,12
OPP-00014,Qualified,ClientSuccess Data,Closed Lost,30000,2024-12-28,Liam Chen,SMB,West,2024-12-14,2024-12-29,540,Omit,false,true,New,Q4 2024,Q4 2024,2024-12-18,10
OPP-00015,Qualified,Gladly Cloud,Qualified,94000,2026-03-12,Diego Fernandez,Mid-Market,East,2025-12-02,2026-06-15,7,Best Case,false,false,New,Q4 2025,Q1 2026,2025-12-09,195
OPP-00016,Proposal,Airfocus Cloud,Proposal,137000,2026-01-01,Caleb Nguyen,Mid-Market,East,2025-10-21,2026-06-17,5,Best Case,false,false,New,Q4 2025,Q1 2026,2025-11-17,217
OPP-00017,Demo,Correlated SaaS,Demo,11000,2026-05-25,Mia Torres,SMB,West,2026-04-03,2026-06-16,6,Best Case,false,false,New,Q2 2026,Q2 2026,2026-04-27,56
OPP-00018,Commit,Sovos Analytics,Closed Won,5000,2024-11-01,Avery Singh,SMB,Central,2024-09-09,2024-11-03,596,Closed,true,true,Expansion,Q3 2024,Q4 2024,2024-10-15,17
OPP-00019,Qualified,Ada Support,Closed Lost,103000,2025-10-27,Jordan Kelly,Mid-Market,Central,2025-10-04,2025-10-29,236,Omit,false,true,New,Q4 2025,Q4 2025,2025-10-18,9
OPP-00020,Commit,Craft Platform,Closed Won,32000,2024-04-02,Ethan Brooks,SMB,West,2024-02-12,2024-04-02,811,Closed,true,true,Expansion,Q1 2024,Q2 2024,2024-03-24,9
OPP-00021,Commit,Apexon Digital,Closed Won,81000,2024-02-04,Jordan Kelly,Mid-Market,Central,2023-12-21,2024-02-04,869,Closed,true,true,New,Q4 2023,Q1 2024,2024-01-26,9
OPP-00022,Commit,Grafana Ops,Closed Won,19000,2025-10-14,Elena Okafor,SMB,East,2025-08-24,2025-10-17,248,Closed,true,true,New,Q3 2025,Q4 2025,2025-10-04,10
OPP-00023,Prospect,Freshdesk Systems,Prospect,75000,2026-05-30,Diego Fernandez,Mid-Market,East,2026-03-31,2026-06-18,4,Omit,false,false,New,Q1 2026,Q2 2026,2026-03-31,83
OPP-00024,Demo,Chorus Analytics,Demo,421000,2026-08-24,Noah Patel,Enterprise,Central,2026-04-14,2026-05-07,46,Best Case,false,false,New,Q2 2026,Q3 2026,2026-04-21,62
OPP-00025,Commit,Craft Platform,Commit,583000,2026-04-17,Zara Mitchell,Enterprise,East,2025-12-16,2026-06-15,7,Commit,false,false,Renewal,Q4 2025,Q2 2026,2026-01-24,149
OPP-00026,Prospect,Avalara Systems,Closed Lost,22000,2025-05-12,Jordan Kelly,SMB,Central,2025-05-01,2025-05-12,406,Omit,false,true,New,Q2 2025,Q2 2025,2025-05-01,11
OPP-00027,Proposal,Helix Data,Proposal,497000,2026-06-10,Diego Fernandez,Enterprise,East,2026-02-02,2026-06-05,17,Best Case,false,false,New,Q1 2026,Q2 2026,2026-03-05,109
OPP-00028,Proposal,Torii Platform,Closed Lost,14000,2025-07-20,Jordan Kelly,SMB,Central,2025-06-09,2025-07-20,337,Omit,false,true,New,Q2 2025,Q3 2025,2025-07-01,19
OPP-00029,Qualified,ProfitWell Systems,Qualified,13000,2026-04-25,Elena Okafor,SMB,East,2026-03-12,2026-06-18,4,Best Case,false,false,New,Q1 2026,Q2 2026,2026-03-18,96
OPP-00030,Qualified,Paddle Analytics,Qualified,27000,2026-03-23,Liam Chen,SMB,West,2026-02-06,2026-06-05,17,Best Case,false,false,New,Q1 2026,Q1 2026,2026-02-20,122
OPP-00031,Proposal,Brex Platform,Proposal,70000,2026-04-04,Jordan Kelly,Mid-Market,Central,2026-01-13,2026-06-16,6,Best Case,false,false,New,Q1 2026,Q2 2026,2026-01-31,142
OPP-00032,Commit,Blissfully Cloud,Commit,92000,2026-04-12,Zara Mitchell,Mid-Market,East,2026-01-27,2026-06-02,20,Commit,false,false,New,Q1 2026,Q2 2026,2026-03-02,112
OPP-00033,Prospect,Avalara Systems,Closed Lost,97000,2025-06-10,Sofia Ramirez,Mid-Market,West,2025-06-02,2025-06-12,375,Omit,false,true,New,Q2 2025,Q2 2025,2025-06-02,8
OPP-00034,Prospect,Aha Software,Closed Lost,95000,2024-02-06,Jordan Kelly,Mid-Market,Central,2024-01-23,2024-02-09,864,Omit,false,true,New,Q1 2024,Q1 2024,2024-01-23,14
OPP-00035,Commit,Mosaic Cloud,Commit,98000,2026-06-04,Aria Stephens,Mid-Market,East,2026-03-11,2026-06-11,11,Commit,false,false,New,Q1 2026,Q2 2026,2026-04-19,64
OPP-00036,Commit,Lusha Analytics,Closed Won,26000,2024-08-25,Liam Chen,SMB,West,2024-07-04,2024-08-26,665,Closed,true,true,New,Q3 2024,Q3 2024,2024-08-11,14
OPP-00037,Commit,TaxJar Cloud,Commit,128000,2026-09-16,Jordan Kelly,Mid-Market,Central,2026-07-16,2026-06-14,8,Commit,false,false,Renewal,Q3 2026,Q3 2026,2026-08-26,0
OPP-00038,Commit,ProfitWell Systems,Closed Won,16000,2024-07-07,Elena Okafor,SMB,East,2024-05-14,2024-07-08,714,Closed,true,true,Expansion,Q2 2024,Q3 2024,2024-06-24,13
OPP-00039,Proposal,Ramp Analytics,Proposal,10000,2026-02-06,Elena Okafor,SMB,East,2025-12-27,2026-06-20,2,Best Case,false,false,New,Q4 2025,Q1 2026,2026-01-16,157
OPP-00040,Prospect,Mutiny Systems,Closed Lost,15000,2024-10-25,Liam Chen,SMB,West,2024-10-12,2024-10-27,603,Omit,false,true,New,Q4 2024,Q4 2024,2024-10-12,13
OPP-00041,Demo,Totango Analytics,Demo,592000,2026-03-11,Marcus Webb,Enterprise,Central,2025-10-06,2026-06-15,7,Best Case,false,false,New,Q4 2025,Q1 2026,2025-10-25,240
OPP-00042,Proposal,Front Systems,Proposal,79000,2026-09-11,Ethan Brooks,Mid-Market,West,2026-06-25,2026-06-13,9,Best Case,false,false,New,Q2 2026,Q3 2026,2026-07-15,0
OPP-00043,Commit,Notion Labs,Closed Won,121000,2025-04-25,Diego Fernandez,Mid-Market,East,2025-02-22,2025-04-26,422,Closed,true,true,New,Q1 2025,Q2 2025,2025-04-10,15
OPP-00044,Prospect,Synder Platform,Closed Lost,101000,2025-02-08,Diego Fernandez,Mid-Market,East,2025-02-04,2025-02-10,497,Omit,false,true,New,Q1 2025,Q1 2025,2025-02-04,4
OPP-00045,Proposal,Mutiny Systems,Proposal,83000,2026-05-19,Ethan Brooks,Mid-Market,West,2026-02-07,2026-06-15,7,Best Case,false,false,New,Q1 2026,Q2 2026,2026-03-11,103
OPP-00046,Commit,Chargebee Cloud,Commit,531000,2026-09-19,Noah Patel,Enterprise,Central,2026-05-19,2026-06-01,21,Commit,false,false,New,Q2 2026,Q3 2026,2026-06-25,0
OPP-00047,Qualified,Alation Analytics,Qualified,526000,2026-02-20,Noah Patel,Enterprise,Central,2025-10-29,2026-06-13,9,Best Case,false,false,New,Q4 2025,Q1 2026,2025-11-02,232
OPP-00048,Commit,Baremetrics Cloud,Closed Won,155000,2025-01-20,Elena Okafor,Mid-Market,East,2024-11-25,2025-01-20,518,Closed,true,true,New,Q4 2024,Q1 2025,2025-01-05,15
OPP-00049,Qualified,Planhat Systems,Closed Lost,30000,2025-09-21,Mia Torres,SMB,West,2025-09-05,2025-09-22,273,Omit,false,true,New,Q3 2025,Q3 2025,2025-09-13,8
OPP-00050,Qualified,Chartmogul Analytics,Closed Lost,619000,2025-06-05,Diego Fernandez,Enterprise,East,2025-05-21,2025-06-06,381,Omit,false,true,New,Q2 2025,Q2 2025,2025-05-28,8
OPP-00051,Prospect,Freshdesk Systems,Closed Lost,71000,2025-03-09,Diego Fernandez,Mid-Market,East,2025-02-27,2025-03-12,467,Omit,false,true,New,Q1 2025,Q1 2025,2025-02-27,10
