survey_id,survey_date,client_id,project_id,csat_score,nps_score,response_count,primary_feedback_theme
SV00001,2025-03-31,CL019,PR0001,8.8,52,22,Communication
SV00002,2025-06-30,CL019,PR0001,8.9,48,20,Technical Expertise
SV00003,2025-09-30,CL019,PR0001,8.4,50,19,Communication
SV00004,2025-06-30,CL018,PR0002,8.8,43,19,Technical Expertise
SV00005,2025-06-30,CL005,PR0003,7.2,3,15,Communication
SV00006,2025-09-30,CL005,PR0003,8.7,32,5,Technical Expertise
SV00007,2025-09-30,CL006,PR0004,8.9,51,24,Technical Expertise
SV00008,2025-12-31,CL006,PR0004,8.2,13,4,Responsiveness
SV00009,2026-03-31,CL006,PR0004,7.6,14,20,Responsiveness
SV00010,2025-03-31,CL003,PR0005,8.5,40,20,Speed
SV00011,2025-06-30,CL003,PR0005,9.2,52,22,Delivery Quality
SV00012,2025-09-30,CL003,PR0005,7.3,19,19,Communication
SV00013,2025-03-31,CL008,PR0006,9.9,44,16,Change Management
SV00014,2025-06-30,CL008,PR0006,6.5,-2,7,Delivery Quality
SV00015,2025-12-31,CL020,PR0007,8.7,57,11,Change Management
SV00016,2026-03-31,CL020,PR0007,9.4,60,12,Communication
SV00017,2026-03-31,CL009,PR0008,8.5,49,5,Technical Expertise
SV00018,2025-03-31,CL011,PR0009,7.7,41,14,Delivery Quality
SV00019,2025-06-30,CL011,PR0009,7.8,26,9,Delivery Quality
SV00020,2025-09-30,CL011,PR0009,8.6,41,16,Change Management
SV00021,2025-12-31,CL011,PR0009,9.9,54,18,Change Management
SV00022,2026-03-31,CL013,PR0010,8.5,34,15,Delivery Quality
SV00023,2025-09-30,CL001,PR0011,6.9,18,5,Delivery Quality
SV00024,2025-12-31,CL001,PR0011,7.0,11,20,Delivery Quality
SV00025,2025-09-30,CL003,PR0012,8.5,33,16,Communication
SV00026,2025-12-31,CL003,PR0012,8.6,30,8,Responsiveness
SV00027,2026-03-31,CL003,PR0012,7.4,12,16,Communication
SV00028,2025-03-31,CL010,PR0013,8.5,31,9,Delivery Quality
SV00029,2025-06-30,CL010,PR0013,9.0,41,18,Responsiveness
SV00030,2025-12-31,CL023,PR0014,8.8,47,6,Communication
SV00031,2026-03-31,CL023,PR0014,7.9,22,14,Speed
